A,B,C,D
1,20,-27.77,284.01
2,6,-24.71,88.37
3,1,-21.96,18.13
4,26,-19,368.2
5,15,-15.99,214.17
6,28,-12.88,396.07
7,27,-9.68,382.09
8,7,-6.71,102.05
9,13,-3.93,185.99
10,23,-0.84,326.09
11,30,2.37,424.26
12,33,5.35,466.17
13,24,8.28,340.23
14,39,11.14,550.18
15,13,14.21,186.21
16,32,17.01,452.35
17,33,20.29,466.21
18,36,23.36,508.12
19,3,26.09,46.13
20,37,29.24,522.31
21,0,32.14,4.3
22,29,35,410.2
23,8,38.24,116.1
24,26,41.24,368.19
25,6,44.37,88.02
26,21,47.22,298.06
27,10,50.15,144.37
28,25,53.12,354.27
29,31,56.07,438.3
30,6,60,88.36
31,19,62.37,270.37
32,27,65.22,382.26
33,29,68.04,410.26
34,16,71.08,228.12
35,34,74.29,480.1
36,25,77.34,354.23
37,9,80.34,130.33
38,19,83.25,270.18
39,25,86.14,354.01
40,34,89.06,480.07
41,25,92.17,353.99
42,24,95.05,340.23
43,4,98.34,60.21
44,32,101.1,452.23
45,39,104.36,550.15
46,3,107.22,46.03
47,29,110.23,409.99
48,16,113.02,228.26
49,29,116.27,410.34
50,32,119.14,452.02
51,2,122.31,32.14
52,35,125.15,494.21
53,12,128.11,172.17
54,27,131.35,382.22
55,12,134.34,172.2
56,29,137.3,410.04
57,34,140.19,480.22
58,35,143.35,494.26
59,15,146.16,214.08
60,11,149.09,158.16
61,8,152.03,116.09
62,16,154.98,228.18
63,39,158.1,550.31
64,10,161.37,144.28
65,34,164.09,480.17
66,9,167.31,130.09
67,7,170.25,102.22
68,31,173.13,438.11
69,20,176.2,284.3
70,22,179.24,312.33
71,32,182.24,451.98
72,3,185,45.98
73,15,187.99,214.02
74,8,191.09,116.33
75,30,194.36,424.36
76,1,197.05,18.29
77,4,200.12,60.09
78,28,203.04,396.16
79,34,206.16,479.98
80,18,208.98,256.24
81,13,212.3,186.02
82,13,215.25,186.04
83,5,218,74.05
84,9,221,130.09
85,36,224.3,508.07
86,34,227.24,480.06
87,18,230.28,256.2
88,29,233.09,410.18
89,7,236.03,102.36
90,39,239.13,550.28
91,18,242.26,256.12
92,22,245.31,312.31
93,29,248.28,410.25
94,28,251.29,396.27
95,31,254.25,438.12
96,0,257.19,3.98
97,8,260.29,116.28
98,23,263.18,325.99
99,35,266.17,494.36
100,34,269.09,480.03
