A,B,C,D,E,F
0,6.17,28,503.32,-83.766,-35.5565
27,86.97,33,593.5,-0.438372,-0.898794
11,39.44,8,143.14,38.1622,23.8464
6,24.18,34,611.34,-25.8775,-50.7873
14,48.24,36,647.48,-27.4294,-16.4812
25,81.05,36,647.5,72.7462,42
31,99,18,323.13,86.077,18.2962
15,51.36,16,287.53,7.19035,3.50697
23,75.52,22,395.34,2.97258,2.67652
37,117.07,37,665.5,-8.89255,-24.432
9,33.16,14,251.14,11.5911,3.10583
35,111.52,25,449.1,45.9133,24.4125
2,12.56,13,233.35,-3.34566,-3.71572
19,63.16,28,503.5,-86.9877,-29.9522
3,15.03,35,628.97,40.9849,42.441
25,81.18,0,-0.72,-47.7399,-51.1947
13,45.42,39,701.15,-32.855,-52.579
12,41.97,23,413.14,-86.9333,-23.2937
10,35.98,21,377.08,31.6964,67.9731
27,87.35,36,647.31,-31.2121,-28.1035
35,111.12,28,503.12,-9.09607,-31.7216
19,63.37,36,647.08,-34.5,-59.7557
34,108.12,27,485.06,-14.0339,-45.9026
0,6.11,11,197.5,-30.5431,-55.101
3,15.02,36,647.36,10.2694,3.94204
19,63.44,2,35.24,23.6184,24.4575
18,60.11,13,233.12,21.8655,12.1202
2,12.28,31,557.18,14.0518,15.606
11,39.3,10,179.2,-79.7165,-49.8124
9,32.99,24,431.35,30.2779,87.9332
4,18.49,3,53.43,74.1747,29.9685
19,63.07,3,53.5,-8.60366,-12.2873
29,93.36,32,575.18,-34.435,-18.3094
16,54.49,18,323.55,-18.9935,-49.4797
18,60.54,18,323.19,53.5086,40.3216
18,60.28,24,431.3,-46.679,-17.9184
23,75.06,27,485.15,-56.4211,-64.905
19,63.13,24,431.28,13.6147,25.6055
36,114.54,21,377.51,-28.0558,-57.5228
30,96.31,38,683.26,27.5746,4.86215
21,69.16,16,287.54,-22.2203,-72.6791
34,108.04,0,-1.02,-77.5325,-26.6966
37,117.54,2,35.1,-33.5516,-49.7422
10,36.13,21,377.49,10.3284,19.4248
13,45.09,23,413.08,8.6987,9.66088
8,30.43,2,35.33,-71.3419,-64.2365
35,111.35,26,467.52,-48.3967,-7.66528
1,9.45,33,593.01,72.4017,38.4966
7,27.01,29,521.05,-63.9086,-66.1792
37,117.1,16,287.09,-29.8454,-20.1309
36,114.21,16,287.35,55.2848,25.7797
17,57.13,10,179.33,2.98357,0.313585
0,6.21,21,377.11,-27.7128,-16
27,87.25,12,215.26,73.4104,19.6702
32,102.23,34,611.05,-1.14715,-1.6383
18,60.43,35,629.43,-17.9063,-52.0035
38,120.51,24,431.05,-82.2191,-36.6063
21,69.2,23,413.39,-36.5678,-60.8588
30,96.05,32,575.39,-2.45746,-1.72073
22,72.47,38,683.25,-8.48048,-5.29919
19,63.17,23,413.23,21.298,14.913
34,108.41,27,485.55,-54.7763,-11.643
17,57.42,32,575.49,33.3436,34.5283
36,114.35,30,539.17,-23.5114,-32.3607
13,45.11,9,161.28,-77.4677,-58.376
20,66.51,32,575.53,-16.2695,-36.5418
8,30.51,35,629.32,57.2879,61.4337
25,81.5,17,305.14,11.4337,35.1891
31,99.31,7,125.18,-32.4395,-66.5107
20,66.56,14,251.19,-80.4167,-54.2417
34,108.4,23,413.55,-0.939693,-0.34202
9,33.17,1,17.34,64.9519,37.5
29,93.29,10,179.03,-83.4466,-33.7146
4,18.5,33,593.2,-5.34604,-2.72394
23,75.03,3,53.54,-44.5727,-26.782
38,120.51,22,395.3,22.0813,24.5238
8,30.19,13,233.26,-0.275638,-0.961261
26,84.17,21,377.05,14.3078,22.8973
15,51.2,16,287.18,-7.62496,-11.7414
13,45.46,9,161.13,-40.7524,-10.1607
15,51.53,4,71.14,3.94535,8.08914
30,96.26,23,413.21,-14.1413,-16.853
25,81.13,35,629.55,-94.8181,-15.0177
14,48.49,29,521.27,-22.7861,-41.1071
5,21.03,17,305.11,68.7473,64.1078
15,51.06,36,647.36,-80.5737,-48.4135
20,66.26,7,125.41,4.28584,2.57519
31,98.99,14,251.03,49.7423,33.5515
13,45.11,31,557.39,-20.1163,-11.1506
38,120.19,22,395.45,-32.7247,-40.4116
36,114.2,18,323.29,41.509,36.0832
10,36.44,5,89.15,29.6455,9.06351
16,54.31,24,431.27,0.978148,0.207912
1,9.51,23,413.29,-58.0037,-27.0475
28,90.24,14,251.39,76.0919,42.1784
19,63.12,30,539.26,-57.3213,-20.8632
5,21.47,24,431.2,38.9748,8.99804
25,81.05,22,394.99,74.1824,24.1033
19,63.29,29,521.31,-15.5899,-3.59921
15,51.02,37,665.38,-24.9054,-21.6499
28,90.15,31,557.55,6.97336,0.61009
